Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Instagram,,,,25-08-2024 06:36:39,25-08-2024 06:37:26,46.692s,PASSED
,,,,,,,
Test Cases/Instagram,,,,25-08-2024 06:36:40,25-08-2024 06:37:26,46.472s,PASSED
"startExistingApplication(""com.instagram.android"")",,,,25-08-2024 06:36:40,25-08-2024 06:36:58,17.611s,PASSED
"waitForElementPresent(findTestObject(""Instagram/Log in to another account""), 3)",,,,25-08-2024 06:36:58,25-08-2024 06:37:00,2.254s,PASSED
"tap(findTestObject(""Instagram/Log in to another account""), 4)",,,,25-08-2024 06:37:00,25-08-2024 06:37:00,0.378s,PASSED
if (true),,,,25-08-2024 06:37:00,25-08-2024 06:37:03,2.577s,PASSED
"waitForElementPresent(findTestObject(""Instagram/Username""), 5)",,,,25-08-2024 06:37:03,25-08-2024 06:37:04,1.242s,PASSED
"tap(findTestObject(""Instagram/Username""), 3)",,,,25-08-2024 06:37:04,25-08-2024 06:37:04,0.373s,PASSED
"tap(findTestObject(""Instagram/CrossMark""), 3)",,,,25-08-2024 06:37:04,25-08-2024 06:37:06,1.337s,PASSED
"setText(findTestObject(""Instagram/Username""), ""harikrishnan_muruganantham"", 0)",,,,25-08-2024 06:37:06,25-08-2024 06:37:09,3.530s,PASSED
"tap(findTestObject(""Instagram/InstaLogo""), 3)",,,,25-08-2024 06:37:09,25-08-2024 06:37:11,1.542s,PASSED
"tap(findTestObject(""Instagram/BeforeClickPassword""), 3)",,,,25-08-2024 06:37:11,25-08-2024 06:37:11,0.409s,PASSED
"setText(findTestObject(""Instagram/Password""), ""Tamil*1106"", 0)",,,,25-08-2024 06:37:11,25-08-2024 06:37:14,2.794s,PASSED
"tap(findTestObject(""Instagram/InstaLogo""), 3)",,,,25-08-2024 06:37:14,25-08-2024 06:37:15,0.986s,PASSED
"tap(findTestObject(""Instagram/Log in""), 3)",,,,25-08-2024 06:37:15,25-08-2024 06:37:16,0.962s,PASSED
"waitForElementPresent(findTestObject(""Instagram/Your story""), 10)",,,,25-08-2024 06:37:16,25-08-2024 06:37:25,8.634s,PASSED
closeApplication(),,,,25-08-2024 06:37:25,25-08-2024 06:37:26,1.440s,PASSED
